Site,Month,Inches
Allston - Union Sq.,January,2.03
Allston - Union Sq.,February,3.39
Allston - Union Sq.,March,2.72
Allston - Union Sq.,April,2.91
Allston - Union Sq.,May,1.22
Allston - Union Sq.,June,2.6
Allston - Union Sq.,July,0.77
Allston - Union Sq.,August,2
Allston - Union Sq.,September,2.54
Allston - Union Sq.,October,4.14
Allston - Union Sq.,November,1.53
East Boston - Day Sq.,January,1.82
East Boston - Day Sq.,February,3.61
East Boston - Day Sq.,March,3.01
East Boston - Day Sq.,April,2.67
East Boston - Day Sq.,May,1.22
East Boston - Day Sq.,June,2.66
East Boston - Day Sq.,July,0.81
East Boston - Day Sq.,August,1.6
East Boston - Day Sq.,September,2.55
East Boston - Day Sq.,October,3.89
East Boston - Day Sq.,November,1.71
Hyde Park - Cleary Sq.,January,1.94
Hyde Park - Cleary Sq.,February,4.28
Hyde Park - Cleary Sq.,March,3.17
Hyde Park - Cleary Sq.,April,2.97
Hyde Park - Cleary Sq.,May,2.12
Hyde Park - Cleary Sq.,June,2.46
Hyde Park - Cleary Sq.,July,1.06
Hyde Park - Cleary Sq.,August,1.61
Hyde Park - Cleary Sq.,September,3.53
Hyde Park - Cleary Sq.,October,5.12
Hyde Park - Cleary Sq.,November,2.2
Mattapan - Harambee Park,January,1.92
Mattapan - Harambee Park,February,3.55
Mattapan - Harambee Park,March,3.26
Mattapan - Harambee Park,April,3.23
Mattapan - Harambee Park,May,1.62
Mattapan - Harambee Park,June,1.4
Mattapan - Harambee Park,July,0.29
Mattapan - Harambee Park,August,3.45
Mattapan - Harambee Park,September,3.76
Mattapan - Harambee Park,October,5.65
Mattapan - Harambee Park,November,1.96
Roslindale - Roslindale Sq.,January,2.24
Roslindale - Roslindale Sq.,February,4.09
Roslindale - Roslindale Sq.,March,3.58
Roslindale - Roslindale Sq.,April,3.59
Roslindale - Roslindale Sq.,May,1.76
Roslindale - Roslindale Sq.,June,2.85
Roslindale - Roslindale Sq.,July,1.17
Roslindale - Roslindale Sq.,August,3.45
Roslindale - Roslindale Sq.,September,4.45
Roslindale - Roslindale Sq.,October,4.67
Roslindale - Roslindale Sq.,November,2.22
